"part","term","statistic","M1 Baseline","M2 Interaction","M3 Respondent FE + BC","M4 Respondent FE Interaction + BC"
"estimates","Monthly_Operating_CostRMB 300/month","estimate","0.758***","1.019***","0.715***","0.634***"
"estimates","Monthly_Operating_CostRMB 300/month","({std.error})","(0.174)","(0.349)","(0.152)","(0.157)"
"estimates","Monthly_Operating_CostRMB 600/month","estimate","0.390+","0.536**","0.379*","0.304*"
"estimates","Monthly_Operating_CostRMB 600/month","({std.error})","(0.198)","(0.276)","(0.148)","(0.154)"
"estimates","PowertrainBEV","estimate","-0.061","-0.187","-0.102","-0.416+"
"estimates","PowertrainBEV","({std.error})","(0.128)","(0.342)","(0.115)","(0.231)"
"estimates","ReliabilityHigh","estimate","-0.252","-0.232","0.090","-0.111"
"estimates","ReliabilityHigh","({std.error})","(0.497)","(0.544)","(0.116)","(0.163)"
"estimates","ReliabilityMedium","estimate","0.350*","0.606+","0.086","-0.205"
"estimates","ReliabilityMedium","({std.error})","(0.151)","(0.429)","(0.112)","(0.178)"
"estimates","Smart_CockpitAdvanced","estimate","0.214","0.238","-0.007","0.121"
"estimates","Smart_CockpitAdvanced","({std.error})","(0.229)","(0.341)","(0.122)","(0.182)"
"estimates","Smart_CockpitIntermediate","estimate","0.227","0.370","0.109","-0.068"
"estimates","Smart_CockpitIntermediate","({std.error})","(0.176)","(0.351)","(0.117)","(0.173)"
"estimates","ConvenienceEasy","estimate","0.699***","","0.703***",""
"estimates","ConvenienceEasy","({std.error})","(0.164)","","(0.158)",""
"estimates","ConvenienceModerate","estimate","0.378*","","0.310*",""
"estimates","ConvenienceModerate","({std.error})","(0.165)","","(0.147)",""
"estimates","Convenience_intDifficult","estimate","","-0.347*","","-0.379*"
"estimates","Convenience_intDifficult","({std.error})","","(0.197)","","(0.161)"
"estimates","Convenience_intEasy","estimate","","0.237","","0.483**"
"estimates","Convenience_intEasy","({std.error})","","(0.286)","","(0.157)"
"estimates","BEV_Easy","estimate","","0.250","","-0.098"
"estimates","BEV_Easy","({std.error})","","(0.642)","","(0.255)"
"estimates","PowertrainBEV × ReliabilityHigh","estimate","","-0.419","","0.462+"
"estimates","PowertrainBEV × ReliabilityHigh","({std.error})","","(0.557)","","(0.248)"
"estimates","PowertrainBEV × ReliabilityMedium","estimate","","-0.155","","0.565*"
"estimates","PowertrainBEV × ReliabilityMedium","({std.error})","","(0.581)","","(0.250)"
"estimates","PowertrainBEV × Smart_CockpitAdvanced","estimate","","0.392","","-0.234"
"estimates","PowertrainBEV × Smart_CockpitAdvanced","({std.error})","","(0.440)","","(0.245)"
"estimates","PowertrainBEV × Smart_CockpitIntermediate","estimate","","0.005","","0.404"
"estimates","PowertrainBEV × Smart_CockpitIntermediate","({std.error})","","(0.488)","","(0.250)"
"gof","Num.Obs.","","2072","2072","2072","2072"
"gof","AIC","","1406.2","1413.4","2841.3","2836.9"
"gof","BIC","","1479.5","1514.9","",""
"gof","RMSE","","0.49","0.49","",""
