"Variable","Coefficient","SE","z_value","p_value","Odds_Ratio","Significance"
"Purchase_PriceRMB 150,000–170,000",-0.0115310493879131,0.231627855144212,-0.0497826540798984,0.96029558958124,0.988535178359184,""
"Purchase_PriceRMB 190,000–210,000",-0.188570401776666,0.198887859490492,-0.948124245792294,0.343066206450615,0.828142198704167,""
"Monthly_Operating_CostRMB 300/month",1.01857367745083,0.268736991462909,3.7902250520335,0.000150510853741303,2.76924211328671,"***"
"Monthly_Operating_CostRMB 600/month",0.536487264780676,0.203197984354506,2.64021942188512,0.00828523654736751,1.70998955922692,"**"
"Cabin_ComfortImproved",-1.37738309413857,1.35522045552942,-1.01635353017195,0.309461066054008,0.252237772631445,""
"Cabin_ComfortPremium",-0.414467676271007,0.481377744479865,-0.861002987827874,0.389236397483869,0.660691889082051,""
"PowertrainBEV",-0.187082615515909,0.233127495868784,-0.802490563452065,0.422269244858373,0.829375214293738,""
"ReliabilityHigh",-0.232287521481567,0.557144545417777,-0.416925057226191,0.676733224945719,0.79271816703524,""
"ReliabilityMedium",0.605775000855969,0.332175728094216,1.82365823153747,0.0682037571475787,1.8326719810064,"."
"Smart_CockpitAdvanced",0.237862374452298,0.244838802847868,0.971506034523848,0.331296349570451,1.268534598042,""
"Smart_CockpitIntermediate",0.370106340143499,0.242181409262051,1.52821945033373,0.126458061156806,1.44788857515594,""
"Convenience_intDifficult",-0.346700998286691,0.168197659268166,-2.06127124357853,0.03927717003616,0.707016695859937,"*"
"Convenience_intEasy",0.236726056687606,0.258791946206115,0.91473502231428,0.360330753759836,1.26709395831039,""
"PowertrainBEV:ReliabilityHigh",-0.41944591404515,0.469343761193054,-0.893685926449591,0.371489957403239,0.657410981108608,""
"PowertrainBEV:ReliabilityMedium",-0.155074133092704,0.493802626575951,-0.314040721427495,0.75349011086556,0.856351691131117,""
"PowertrainBEV:Smart_CockpitAdvanced",0.392166064997823,0.294347863249467,1.33232176605085,0.182754477715235,1.48018349766279,""
"PowertrainBEV:Smart_CockpitIntermediate",0.00476143240639704,0.287393791225398,0.0165676244643112,0.98678155294702,1.00477278603838,""
"PowertrainBEV:Convenience_intDifficult",NA,0,NA,NA,NA,NA
"PowertrainBEV:Convenience_intEasy",0.249726301795887,0.557840700874401,0.447665975975663,0.654394280353788,1.2836740293264,""
