,Block,Task,Alternative,Purchase_Price,Powertrain,Monthly_Operating_Cost,Convenience,Smart_Cockpit,Reliability,Cabin_Comfort
1,TA1,T01,A,"RMB 110,000–130,000",BEV,RMB 600/month,Moderate,Advanced,Medium,Improved
2,TA1,T01,B,"RMB 110,000–130,000",ICEV,RMB 300/month,Easy,Intermediate,Medium,Improved
3,TA2,T02,A,"RMB 150,000–170,000",BEV,RMB 600/month,Difficult,Intermediate,Medium,Improved
4,TA2,T02,B,"RMB 150,000–170,000",ICEV,RMB 300/month,Easy,Advanced,Low,Improved
5,TA3,T03,A,"RMB 190,000–210,000",BEV,RMB 600/month,Moderate,Advanced,High,Basic
6,TA3,T03,B,"RMB 150,000–170,000",ICEV,RMB 900/month,Easy,Advanced,High,Basic
7,TA4,T04,A,"RMB 150,000–170,000",BEV,RMB 300/month,Moderate,Intermediate,High,Premium
8,TA4,T04,B,"RMB 190,000–210,000",ICEV,RMB 900/month,Easy,Intermediate,High,Premium
9,TA5,T05,A,"RMB 190,000–210,000",BEV,RMB 300/month,Moderate,Advanced,Low,Improved
10,TA5,T05,B,"RMB 190,000–210,000",ICEV,RMB 300/month,Moderate,Basic,High,Premium
11,TA6,T06,A,"RMB 110,000–130,000",BEV,RMB 300/month,Easy,Basic,Medium,Premium
12,TA6,T06,B,"RMB 150,000–170,000",ICEV,RMB 900/month,Easy,Intermediate,Medium,Premium
13,TA7,T07,A,"RMB 110,000–130,000",BEV,RMB 600/month,Moderate,Intermediate,Low,Premium
14,TA7,T07,B,"RMB 190,000–210,000",ICEV,RMB 600/month,Easy,Advanced,Low,Premium
15,TA8,T08,A,"RMB 190,000–210,000",BEV,RMB 600/month,Difficult,Basic,High,Improved
16,TA8,T08,B,"RMB 110,000–130,000",ICEV,RMB 900/month,Easy,Basic,High,Improved
17,TA9,T09,A,"RMB 150,000–170,000",BEV,RMB 600/month,Easy,Basic,High,Basic
18,TA9,T09,B,"RMB 150,000–170,000",ICEV,RMB 900/month,Moderate,Basic,Low,Premium
19,TA10,T10,A,"RMB 190,000–210,000",BEV,RMB 600/month,Moderate,Basic,Medium,Improved
20,TA10,T10,B,"RMB 110,000–130,000",ICEV,RMB 900/month,Moderate,Intermediate,Low,Improved
21,TB1,T01,A,"RMB 150,000–170,000",BEV,RMB 300/month,Difficult,Advanced,High,Premium
22,TB1,T01,B,"RMB 150,000–170,000",ICEV,RMB 600/month,Moderate,Advanced,High,Premium
23,TB2,T02,A,"RMB 190,000–210,000",BEV,RMB 300/month,Difficult,Advanced,Medium,Basic
24,TB2,T02,B,"RMB 150,000–170,000",ICEV,RMB 600/month,Easy,Intermediate,Medium,Basic
25,TB3,T03,A,"RMB 190,000–210,000",BEV,RMB 300/month,Easy,Intermediate,High,Improved
26,TB3,T03,B,"RMB 150,000–170,000",ICEV,RMB 600/month,Moderate,Basic,High,Improved
27,TB4,T04,A,"RMB 150,000–170,000",BEV,RMB 600/month,Easy,Advanced,Low,Improved
28,TB4,T04,B,"RMB 150,000–170,000",ICEV,RMB 300/month,Moderate,Advanced,Medium,Improved
29,TB5,T05,A,"RMB 150,000–170,000",BEV,RMB 300/month,Moderate,Intermediate,Medium,Basic
30,TB5,T05,B,"RMB 110,000–130,000",ICEV,RMB 900/month,Moderate,Basic,Medium,Basic
31,TB6,T06,A,"RMB 110,000–130,000",BEV,RMB 600/month,Difficult,Intermediate,Low,Basic
32,TB6,T06,B,"RMB 190,000–210,000",ICEV,RMB 600/month,Moderate,Intermediate,Low,Basic
33,TB7,T07,A,"RMB 110,000–130,000",BEV,RMB 600/month,Easy,Advanced,Medium,Premium
34,TB7,T07,B,"RMB 110,000–130,000",ICEV,RMB 300/month,Moderate,Intermediate,High,Basic
35,TB8,T08,A,"RMB 190,000–210,000",BEV,RMB 300/month,Moderate,Basic,Low,Basic
36,TB8,T08,B,"RMB 110,000–130,000",ICEV,RMB 300/month,Moderate,Basic,Low,Basic
37,TB9,T09,A,"RMB 150,000–170,000",BEV,RMB 300/month,Difficult,Intermediate,Low,Basic
38,TB9,T09,B,"RMB 190,000–210,000",ICEV,RMB 900/month,Moderate,Advanced,Medium,Basic
39,TB10,T10,A,"RMB 110,000–130,000",BEV,RMB 300/month,Moderate,Basic,Low,Basic
40,TB10,T10,B,"RMB 190,000–210,000",ICEV,RMB 600/month,Easy,Advanced,Medium,Premium
